id,Street,Housenumber,Box,Floor,City,Postalcode,Property type,Region,District,Subtype,Price,Type of sale,Construction year,Bedroom Count,Habitable surface,Kitchen type,Furnished,Fireplace,Terrace,Garden,Garden surface,Facades,SwimmingPool,Condition,EPC score,Latitude,Longitude
10681697,Rue Colompré,108,0,0.0,Liege,4020,RESIDENTIAL,WALLONIE,Liège,HOUSE,149000.0,residential_sale,1899.0,4.0,137.0,INSTALLED,True,False,True,0,110.0,2.0,False,GOOD,F,50.6402372,5.599121
10676490,drève du parc,45,0,1.0,Bruxelles,1000,URBAN,BRUSSELS,Brussels,APARTMENT,330000.0,residential_sale,2025.0,2.0,91.0,USA_INSTALLED,0,False,True,0,0.0,4.0,False,AS_NEW,A,50.8665959,4.3449
10675312,Boulevard du Triomphe,201,B42,4.0,Auderghem,1160,URBAN,BRUSSELS,Brussels,FLAT_STUDIO,255500.0,residential_sale,2022.0,0.0,46.0,USA_HYPER_EQUIPPED,False,False,True,0,0.0,0.0,False,AS_NEW,A,50.8163956,4.3989398
10681830,Rue du Vieux Chemin,37, 11,1.0,Embourg,4053,0,WALLONIE,Liège,APARTMENT,399000.0,residential_sale,2010.0,3.0,145.0,INSTALLED,0,True,True,0,0.0,3.0,0,GOOD,B,50.5985712,5.6188773
10681832,Rue du Vieux Chemin,37, 11,1.0,Embourg,4053,0,WALLONIE,Liège,PENTHOUSE,399000.0,residential_sale,2010.0,3.0,145.0,INSTALLED,0,True,True,0,0.0,3.0,0,GOOD,B,50.5985712,5.6188773
10676489,drève du parc,45,0,1.0,Bruxelles,1000,URBAN,BRUSSELS,Brussels,APARTMENT,279000.0,residential_sale,2025.0,1.0,74.0,USA_INSTALLED,0,False,True,0,0.0,4.0,False,AS_NEW,A,50.8665959,4.3449
10681459,Drapstraat,22,0,0.0,Nazareth,9810,0,FLANDERS,Gent,APARTMENT_GROUP,0.0,group_sale,0.0,0.0,0.0,0,0,False,0,0,0.0,0.0,0,0,0,50.95972,3.6011273
10676495,Parkdreef,45,0,4.0,Bruxelles,1000,ISOLATED,BRUSSELS,Brussels,APARTMENT,361000.0,residential_sale,2025.0,2.0,92.0,HYPER_EQUIPPED,0,False,True,0,0.0,4.0,False,AS_NEW,A,50.8665959,4.3449
10681361,Rue de Genève,7,0,6.0,Evere,1140,0,BRUSSELS,Brussels,PENTHOUSE,370000.0,residential_sale,2013.0,2.0,100.0,USA_HYPER_EQUIPPED,True,False,True,0,0.0,2.0,0,AS_NEW,B,50.8639409,4.4034631
10681258,Avenue de l'Aulne,95,0,7.0,Uccle,1180,ISOLATED,BRUSSELS,Brussels,APARTMENT,380000.0,residential_sale,1965.0,3.0,108.0,INSTALLED,False,False,True,0,0.0,3.0,False,TO_BE_DONE_UP,C,50.8018713,4.3306286
10676509,Parkdreef,45,0,1.0,Bruxelles,1000,COUNTRY,BRUSSELS,Brussels,APARTMENT,325000.0,residential_sale,2025.0,2.0,92.0,HYPER_EQUIPPED,0,False,0,0,0.0,4.0,False,AS_NEW,A,50.8665959,4.3449
10678924,Biesakker,"1,2.2",0,2.0,Wichelen Serskamp,9260,URBAN,FLANDERS,Dendermonde,APARTMENT,195000.0,residential_sale,2004.0,2.0,91.0,USA_HYPER_EQUIPPED,False,False,True,0,0.0,3.0,False,AS_NEW,B,50.9924477,3.9258959
10676494,Parkdreef,45,0,4.0,Bruxelles,1000,ISOLATED,BRUSSELS,Brussels,PENTHOUSE,326000.0,residential_sale,2025.0,2.0,81.0,USA_INSTALLED,False,False,True,0,0.0,3.0,False,AS_NEW,A,50.8665959,4.3449
10681466,Jules de Saint-Genoisstraat,81-81A,0,0.0,Gent Gentbrugge,9050,0,FLANDERS,Gent,HOUSE_GROUP,0.0,group_sale,0.0,0.0,0.0,0,0,False,0,0,0.0,0.0,0,0,A,51.029384,3.7586157
10680063,Rue de l'Oseraie,38,0,0.0,ROTHEUX-RIMIÈRE,4120,0,WALLONIE,Liège,BUNGALOW,319000.0,residential_sale,1979.0,2.0,104.0,INSTALLED,0,True,True,True,543.0,3.0,0,JUST_RENOVATED,C,50.5296416,5.4476278
10676497,Parkdreef,45,0,1.0,Bruxelles,1000,ISOLATED,BRUSSELS,Brussels,APARTMENT,340000.0,residential_sale,2025.0,1.0,80.0,HYPER_EQUIPPED,0,False,True,0,0.0,4.0,False,AS_NEW,A,50.8665959,4.3449
10676493,Parkdreef,45,0,4.0,Bruxelles,1000,ISOLATED,BRUSSELS,Brussels,APARTMENT,308000.0,residential_sale,2025.0,2.0,82.0,USA_INSTALLED,False,False,True,0,0.0,3.0,False,AS_NEW,A,50.8665959,4.3449
10679325,Rue du Brouck,61,0,0.0,Vise,4600,ISOLATED,WALLONIE,Liège,HOUSE,229000.0,residential_sale,1850.0,3.0,145.0,INSTALLED,False,False,True,0,184.0,3.0,False,GOOD,C,50.7564822,5.6621441
10678728,Rue de Bastogne,96,0,0.0,HARZÉ,4920,0,WALLONIE,Liège,APARTMENT_GROUP,0.0,group_sale,0.0,0.0,0.0,0,0,False,0,0,0.0,0.0,0,0,0,50.4324157,5.6662875
10676492,Drève du parc,45,0,5.0,Bruxelles,1000,ISOLATED,BRUSSELS,Brussels,APARTMENT,360000.0,residential_sale,2025.0,2.0,99.0,USA_INSTALLED,False,False,True,0,0.0,4.0,False,AS_NEW,A,50.8665959,4.3449
10680773,Rijvisschestraat,126,0,0.0,Gent,9000,0,FLANDERS,Gent,APARTMENT_GROUP,0.0,group_sale,0.0,0.0,0.0,0,0,False,0,0,0.0,0.0,0,0,0,51.018274,3.6916195
10678734,Rue Chaussée,126,0,0.0,Awans,4340,0,WALLONIE,Liège,APARTMENT_GROUP,0.0,group_sale,0.0,0.0,0.0,0,0,False,0,0,0.0,0.0,0,0,0,50.6882014,5.4510698
10680254,Chemin de Soeret,5,0,0.0,La Roche-en-Ardenne,6980,COUNTRY,WALLONIE,Marche-en-Famenne,VILLA,398000.0,residential_sale,1991.0,3.0,170.0,HYPER_EQUIPPED,False,False,True,True,1193.0,4.0,False,GOOD,D,50.1760517,5.5812122
10679009,Brouwketelstraat,13,0,0.0,Geraardsbergen Moerbeke,9500,0,FLANDERS,Aalst,HOUSE_GROUP,0.0,group_sale,0.0,0.0,0.0,0,0,False,0,0,0.0,0.0,0,0,0,50.752437,3.9179326
10684113,Quartier du Bois de Mai,.,.,0.0,Braine-l'Alleud,1420,RESIDENTIAL,WALLONIE,Nivelles,VILLA,2295000.0,residential_sale,1972.0,4.0,485.0,HYPER_EQUIPPED,True,True,True,True,4189.0,4.0,True,JUST_RENOVATED,C,50.6061726,4.4494002
10684108,Rue de Sesselich,21,0,0.0,WOLKRANGE,6780,0,WALLONIE,Arlon,HOUSE,260000.0,residential_sale,1961.0,3.0,154.0,0,0,True,True,True,210.0,3.0,0,TO_BE_DONE_UP,D,49.6335374,5.7974983
10684090,rue Bourgmestre Aimé Meunier,154,0,0.0,Trooz Nessonvaux,4870,ISOLATED,WALLONIE,Liège,HOUSE,125000.0,residential_sale,1948.0,5.0,200.0,NOT_INSTALLED,False,False,True,0,99.0,2.0,False,TO_RENOVATE,F,50.5734077,5.737782
10684097,0,0,0,0.0,Poppel,2382,0,FLANDERS,Turnhout,CHALET,285000.0,residential_sale,0.0,3.0,116.0,INSTALLED,0,False,True,0,720.0,4.0,0,GOOD,C,0.0,0.0
